"","name","count"
"1","good",4429
"2","morning",1133
"3","cant",1950
"4","finish",278
"5","meeting",482
"6","pleasure",105
"7","product",205
"8","see",3371
"9","shoot",143
"10","video",490
"11","wait",936
"12","call",1118
"13","can",6098
"14","contact",232
"15","info",215
"16","send",419
"17","set",930
"18","school",1920
"19","start",1179
"20","summer",614
"21","thrilled",53
"22","today",2634
"23","bid",62
"24","grown",109
"25","not",909
"26","ready",767
"27","tonight",1210
"28","available",425
"29","soon",852
"30","support",688
"31","thanks",2413
"32","will",7741
"33","yes",1073
"34","better",1623
"35","gonna",589
"36","hot",522
"37","lol",1752
"38","shorts",64
"39","suit",123
"40","swim",49
"41","tan",53
"42","tank",62
"43","top",910
"44","wear",281
"45","work",2655
"46","yeah",627
"47","like",6820
"48","country",593
"49","ill",1222
"50","loved",410
"51","say",2067
"52","strong",373
"53","now",4412
"54","right",2551
"55","following",604
"56","night",1817
"57","officials",429
"58","rough",99
"59","sounds",380
"60","its",2483
"61","last",3024
"62","the",13189
"63","thing",1370
"64","win",854
"65","well",2932
"66","easier",195
"67","gain",107
"68","instant",53
"69","love",3994
"70","much",2987
"71","stats",37
"72","team",1215
"73","view",269
"74","anyone",804
"75","avoid",169
"76","energy",367
"77","found",1067
"78","has",71
"79","lunch",341
"80","severe",70
"81","solution",122
"82","away",1092
"83","dont",3527
"84","granted",51
"85","know",4211
"86","never",2117
"87","take",2166
"88","taken",474
"89","anymore",217
"90","crowd",194
"91","kinda",163
"92","none",190
"93","old",1157
"94","shows",350
"95","folks",196
"96","many",2233
"97","new",4803
"98","question",542
"99","somewhat",83
"100","while",366
"101","believe",790
"102","boys",356
"103","first",3244
"104","girl",752
"105","kind",789
"106","look",1599
"107","shes",406
"108","time",5225
"109","twice",176
"110","best",1971
"111","heard",589
"112","ive",1292
"113","thank",1238
"114","twitter",834
"115","almost",722
"116","day",4311
"117","everyone",1058
"118","happy",1631
"119","weekend",865
"120","buy",500
"121","dare",45
"122","for",1283
"123","guy",628
"124","happened",433
"125","put",1324
"126","real",945
"127","sure",1348
"128","turn",491
"129","arent",276
"130","clubs",52
"131","missing",245
"132","get",5644
"133","glad",434
"134","hello",199
"135","tweeting",119
"136","fight",337
"137","telling",228
"138","try",905
"139","just",7500
"140","made",2066
"141","text",259
"142","thats",1820
"143","hilarious",105
"144","laughed",58
"145","movie",630
"146","adam",89
"147","catch",230
"148","cmon",34
"149","jones",187
"150","makes",917
"151","extensive",41
"152","law",612
"153","mom",541
"154","must",935
"155","neighborhood",174
"156","part",1304
"157","program",547
"158","training",312
"159","watch",726
"160","you",2817
"161","youre",1369
"162","actual",125
"163","book",1128
"164","era",109
"165","existence",55
"166","move",577
"167","worst",186
"168","cheers",76
"169","classy",33
"170","phoenix",118
"171","account",247
"172","check",807
"173","comes",651
"174","couldnt",327
"175","instead",513
"176","line",650
"177","minutes",763
"178","pay",601
"179","really",2977
"180","scene",246
"181","short",448
"182","something",1748
"183","story",886
"184","sweet",484
"185","theres",733
"186","use",1330
"187","barely",90
"188","phone",544
"189","used",1163
"190","wifi",45
"191","baby",554
"192","fit",237
"193","make",3246
"194","noise",68
"195","protests",35
"196","things",1823
"197","want",2650
"198","what",1685
"199","when",1388
"200","happens",259
"201","kick",165
"202","may",1985
"203","realize",228
"204","teeth",87
"205","world",1600
"206","clothing",84
"207","dress",195
"208","increase",256
"209","risk",186
"210","sleep",490
"211","fun",1080
"212","had",190
"213","life",2179
"214","min",66
"215","nap",81
"216","four",743
"217","great",3033
"218","lived",191
"219","long",1536
"220","lost",609
"221","taking",663
"222","times",1029
"223","weve",268
"224","years",2536
"225","josh",81
"226","saw",728
"227","wild",160
"228","chance",471
"229","havent",469
"230","jeremy",51
"231","overnight",63
"232","package",108
"233","wow",374
"234","wrote",336
"235","rub",38
"236","sunday",554
"237","two",2856
"238","cards",229
"239","getting",1368
"240","mail",111
"241","smile",226
"242","case",682
"243","forget",336
"244","city",1474
"245","debt",159
"246","delays",37
"247","detroit",159
"248","dollars",157
"249","hurt",231
"250","least",784
"251","pension",74
"252","service",557
"253","tax",451
"254","taxpayers",74
"255","toward",198
"256","campaign",291
"257","going",3269
"258","knew",531
"259","lose",281
"260","started",850
"261","talking",507
"262","later",800
"263","maybe",797
"264","crew",150
"265","happen",425
"266","wanted",794
"267","wtf",56
"268","care",742
"269","feeding",44
"270","gets",525
"271","needs",576
"272","post",719
"273","proper",101
"274","fly",141
"275","lips",54
"276","miss",714
"277","beard",42
"278","costume",48
"279","court",558
"280","earlier",379
"281","food",847
"282","kid",264
"283","santa",141
"284","seeing",403
"285","unknown",76
"286","without",1068
"287","bad",947
"288","channel",118
"289","jim",152
"290","mean",678
"291","one",7136
"292","philly",50
"293","that",1427
"294","weather",361
"295","dude",214
"296","favorite",635
"297","got",2695
"298","horse",95
"299","play",1205
"300","stuff",523
"301","this",2678
"302","tonights",66
"303","hit",694
"304","such",87
"305","cool",658
"306","hows",76
"307","pretty",980
"308","actually",897
"309","took",940
"310","wondering",145
"311","knowing",140
"312","scary",99
"313","why",650
"314","beer",81
"315","bbq",49
"316","definitely",413
"317","holes",45
"318","second",902
"319","swimming",63
"320","omg",274
"321","sorry",495
"322","tweeted",46
"323","lots",352
"324","bit",823
"325","complain",60
"326","god",1004
"327","how",942
"328","shooting",201
"329","still",2544
"330","wedding",194
"331","dying",90
"332","flowers",150
"333","funny",436
"334","ones",430
"335","emily",43
"336","performances",68
"337","rock",389
"338","watching",663
"339","youtube",103
"340","bigger",179
"341","cover",346
"342","incredible",118
"343","sells",41
"344","important",540
"345","killed",249
"346","kills",56
"347","smoking",80
"348","youve",268
"349","also",3216
"350","liked",175
"351","questions",403
"352","lucky",211
"353","brewers",87
"354","come",2007
"355","hurts",72
"356","loss",266
"357","packers",48
"358","success",325
"359","unfortunately",144
"360","broadcast",56
"361","est",36
"362","exciting",164
"363","live",1010
"364","public",873
"365","awesome",712
"366","yay",164
"367","deserves",55
"368","follow",1417
"369","deal",484
"370","drug",184
"371","crazy",431
"372","hey",754
"373","indianapolis",63
"374","shut",166
"375","step",306
"376","throw",215
"377","cute",267
"378","need",2450
"379","people",3908
"380","picture",393
"381","events",322
"382","forward",653
"383","future",511
"384","looking",1234
"385","course",792
"386","election",183
"387","marriage",206
"388","obama",435
"389","year",2902
"390","art",522
"391","festival",204
"392","friday",839
"393","las",76
"394","monthly",80
"395","vegas",160
"396","power",625
"397","deserve",97
"398","hope",1325
"399","smh",100
"400","around",1645
"401","tell",973
"402","birthday",576
"403","buddy",98
"404","haha",672
"405","depends",77
"406","dish",121
"407","enjoy",530
"408","looks",622
"409","feet",318
"410","little",2063
"411","running",518
"412","sore",57
"413","everything",857
"414","lie",143
"415","nothing",863
"416","blood",250
"417","next",1891
"418","fox",84
"419","back",3518
"420","bored",115
"421","done",1040
"422","york",490
"423","kept",258
"424","mouth",166
"425","diet",104
"426","fruits",34
"427","hunger",102
"428","low",294
"429","rich",194
"430","vegetables",72
"431","bonus",70
"432","even",2784
"433","free",1161
"434","include",310
"435","selling",151
"436","starting",450
"437","week",1810
"438","airport",173
"439","changed",275
"440","flight",169
"441","lot",1354
"442","think",3181
"443","end",1162
"444","every",1600
"445","guess",503
"446","midnight",105
"447","probably",726
"448","tomorrow",781
"449","yet",951
"450","auto",86
"451","customer",120
"452","faithful",44
"453","guys",773
"454","remember",608
"455","shop",241
"456","fan",361
"457","fans",409
"458","hate",592
"459","early",777
