"","name","count"
"1","good morning",203
"2","cant wait",481
"3","wait see",107
"4","can send",25
"5","i start",47
"6","school today",16
"7","today im",34
"8","tonight i",54
"9","thanks support",29
"10","will available",29
"11","im gonna",118
"12","u like",29
"13","i loved",95
"14","ill say",14
"15","say i",125
"16","right now",584
"17","sounds like",127
"18","i do",15
"19","i will",760
"20","last thing",23
"21","the last",85
"22","thing i",123
"23","will win",37
"24","has anyone",12
"25","dont take",18
"26","know can",40
"27","never know",62
"28","taken away",12
"29","cant believe",99
"30","first time",288
"31","best thing",38
"32","ive heard",30
"33","thing ive",20
"34","time time",32
"35","day everyone",15
"36","hump day",12
"37","i like",497
"38","real i",12
"39","glad see",19
"40","now get",22
"41","see now",12
"42","so glad",40
"43","just made",50
"44","made day",21
"45","movie i",18
"46","you must",25
"47","short story",17
"48","theres something",16
"49","glad i",55
"50","im glad",68
"51","things make",11
"52","you may",61
"53","day today",32
"54","fun day",15
"55","life good",17
"56","i believe",177
"57","work get",15
"58","four years",78
"59","last four",12
"60","yeah thats",19
"61","chance get",17
"62","just now",42
"63","now the",18
"64","getting ready",99
"65","make smile",17
"66","you make",21
"67","case i",21
"68","i know",997
"69","at least",102
"70","knew going",16
"71","rt great",16
"72","earlier today",14
"73","i just",962
"74","i kid",21
"75","just saw",88
"76","kinda like",14
"77","one thing",137
"78","dude i",14
"79","i got",484
"80","this time",50
"81","will make",97
"82","good night",66
"83","pretty cool",30
"84","i actually",103
"85","i wondering",22
"86","yeah i",82
"87","i watch",37
"88","well im",34
"89","why i",67
"90","great day",107
"91","oh yes",25
"92","am i",57
"93","cant complain",12
"94","dont know",394
"95","if youre",103
"96","important part",13
"97","pm est",20
"98","program will",13
"99","today pm",32
"100","can u",49
"101","u follow",19
"102","first night",13
"103","hey hey",15
"104","one step",18
"105","ill take",34
"106","like u",13
"107","people like",48
"108","really cool",20
"109","thats really",16
"110","forward seeing",49
"111","great meeting",20
"112","looking forward",293
"113","of course",192
"114","las vegas",65
"115","love new",31
"116","you rock",15
"117","hope get",21
"118","i hope",401
"119","around time",27
"120","i dont",1078
"121","something i",97
"122","happy birthday",231
"123","like just",24
"124","us we",29
"125","we like",31
"126","looks like",258
"127","when comes",19
"128","text back",11
"129","new york",477
"130","i kept",34
"131","id say",29
"132","next week",166
"133","get lot",13
"134","i think",1441
"135","rt i",127
"136","every one",25
"137","great week",27
"138","guess ill",18
"139","i guess",269
"140","ill call",12
"141","well i",181
"142","i took",116
"143","tomorrow i",30
"144","took long",12
"145","dont get",125
"146","just dont",70
"147","early today",11
"148","follow back",153
"149","thanks mention",29
"150","go ahead",35
"151","im sure",178
"152","last time",92
"153","might want",18
"154","many people",137
"155","people love",18
"156","she always",12
"157","i stay",20
"158","second time",35
"159","either way",41
"160","think can",49
"161","i wish",260
"162","it looks",37
"163","the game",26
"164","its one",23
"165","i played",31
"166","when i",241
"167","just thinking",15
"168","didnt go",25
"169","work hard",35
"170","nice work",17
"171","just sent",22
"172","aw thank",11
"173","beautiful day",58
"174","ill back",14
"175","go school",30
"176","just like",169
"177","school just",11
"178","can stop",11
"179","i can",887
"180","looking back",30
"181","point i",57
"182","things ive",15
"183","great people",13
"184","like thank",16
"185","many great",13
"186","great idea",20
"187","how i",46
"188","i learn",18
"189","it makes",48
"190","rainy day",17
"191","work done",33
"192","class i",22
"193","i hate",280
"194","u dont",16
"195","this guy",17
"196","time soon",14
"197","i eat",38
"198","ice cream",103
"199","come visit",19
"200","acting like",16
"201","last day",62
"202","see new",19
"203","wanna see",31
"204","of the",47
"205","i left",70
"206","the town",18
"207","town i",13
"208","holy spirit",33
"209","seems like",103
"210","check us",24
"211","we now",22
"212","everytime i",13
"213","i get",441
"214","means lot",12
"215","thanks bro",12
"216","need something",16
"217","they need",23
"218","coming soon",60
"219","first week",20
"220","the next",72
"221","will first",25
"222","im feeling",24
"223","i listen",27
"224","san diego",126
"225","i thinking",45
"226","new car",14
"227","gotta get",30
"228","i gotta",48
"229","sleep i",33
"230","george w",19
"231","w bush",16
"232","takes time",15
"233","just want",96
"234","just wait",21
"235","wait till",41
"236","have fun",44
"237","i made",199
"238","yes rt",14
"239","great see",34
"240","hard believe",21
"241","see everyone",11
"242","week ago",21
"243","come back",145
"244","i one",80
"245","dont mind",33
"246","two days",67
"247","youre welcome",72
"248","i say",199
"249","im even",17
"250","merry christmas",53
"251","th grade",24
"252","hope everyone",38
"253","well least",14
"254","i miss",216
"255","i love",1241
"256","tell friends",17
"257","thank everyone",23
"258","rt happy",28
"259","can see",195
"260","im done",34
"261","million people",22
"262","play games",13
"263","need stop",18
"264","tomorrow will",16
"265","will better",14
"266","dont like",119
"267","much i",163
"268","stop trying",12
"269","day i",209
"270","its great",40
"271","look forward",112
"272","stay tuned",76
"273","time right",11
"274","“ i",42
"275","didnt i",18
"276","i didnt",349
"277","i feel",408
"278","i scared",13
"279","ok i",46
"280","yes i",158
"281","hot dogs",15
"282","im watching",30
"283","and i",285
"284","i won",18
"285","pretty sure",82
"286","time i",341
"287","havent seen",54
"288","high school",378
"289","good point",13
"290","people know",37
"291","get well",12
"292","take care",71
"293","starting day",11
"294","real quick",12
"295","know thats",13
"296","second round",23
"297","thats just",44
"298","next year",174
"299","going great",28
"300","it going",11
"301","im bored",32
"302","now i",350
"303","the person",15
"304","i cant",569
"305","u guys",26
"306","i wasnt",91
"307","its hard",57
"308","good day",69
"309","today good",12
"310","and thats",37
"311","last tweet",30
"312","the new",103
"313","guess i",70
"314","well done",29
"315","people need",28
"316","cant stand",34
"317","time start",21
"318","cant sleep",34
"319","i shouldnt",11
"320","just ate",16
"321","have wonderful",12
"322","i see",267
"323","i wouldnt",82
"324","that way",12
"325","way can",21
"326","fair share",16
"327","ready take",13
"328","going make",43
"329","like going",24
"330","right thing",26
"331","we need",126
"332","far good",13
"333","ive already",13
"334","home run",36
"335","just hit",20
"336","everything will",12
"337","love everything",11
"338","get much",22
"339","now can",30
"340","can always",39
"341","if like",15
"342","will love",23
"343","cant get",69
"344","rt thanks",22
"345","but now",47
"346","now thats",24
"347","we live",11
"348","thanks follow",174
"349","i dream",18
"350","if i",200
"351","i use",80
"352","start i",13
"353","i walk",32
"354","whenever i",33
"355","earlier week",35
"356","whole time",15
"357","please please",29
"358","i keep",74
"359","im wearing",14
"360","pretty much",111
"361","since ive",21
"362","new twitter",19
"363","plz follow",14
"364","feel like",345
"365","im taking",18
"366","im afraid",25
"367","something thats",13
"368","thats right",47
"369","rt u",13
"370","hunger games",64
"371","what going",14
"372","good luck",189
"373","rick santorum",12
"374","perfect day",23
"375","can feel",31
"376","real life",50
"377","us can",21
"378","email i",15
"379","i wanted",251
"380","want get",62
"381","im ready",59
"382","lets make",19
"383","make happen",30
"384","christmas eve",19
"385","yr old",14
"386","i heart",15
"387","happy mothers",88
"388","mothers day",173
"389","funny i",21
"390","get sleep",15
"391","social media",163
"392","i need",448
"393","u i",20
"394","will try",38
"395","early morning",52
"396","hope i",49
"397","show love",16
"398","gotta go",23
"399","we excited",15
"400","well good",19
"401","you can",301
"402","better i",52
"403","dont go",41
"404","go work",30
"405","i stop",20
"406","i swear",51
"407","swear i",17
"408","work i",95
"409","i want",645
"410","light rail",14
"411","take home",12
"412","want take",23
"413","nice day",19
"414","time flies",14
"415","“ im",19
"416","dont trust",11
"417","really liked",20
"418","i pick",14
"419","i talk",23
"420","since i",148
"421","true i",19
"422","know right",37
"423","dont want",183
"424","give credit",14
"425","want give",24
"426","but also",24
"427","i give",67
"428","im happy",55
"429","best luck",25
"430","sorry hear",24
"431","little bit",148
"432","home work",23
"433","next years",34
"434","will best",14
"435","years will",14
"436","im already",16
"437","will forever",15
"438","feel good",39
"439","ill just",35
"440","just watch",15
"441","you guys",46
"442","fried chicken",13
"443","honest i",15
"444","n roll",18
"445","rock n",18
"446","the future",17
"447","love little",17
"448","i wont",85
"449","give u",12
"450","if u",19
"451","make money",34
"452","someone else",77
"453","this morning",23
"454","u need",11
"455","u want",13
"456","i probably",49
"457","probably wont",17
"458","wont make",13
"459","i put",89
"460","know i",366
"461","sounds good",33
"462","awesome day",12
"463","many thanks",16
"464","it worked",14
"465","last summer",35
"466","love much",46
"467","what think",38
"468","thanks much",91
"469","i always",207
"470","im way",14
"471","want make",48
"472","one woman",14
"473","please keep",15
"474","you know",190
"475","got home",30
"476","one days",24
"477","wondering i",17
"478","always looking",18
"479","gonna get",26
"480","no cover",11
"481","best things",13
"482","love someone",17
"483","things life",15
"484","best buy",17
"485","can give",37
"486","i call",41
"487","thats i",95
"488","best way",50
"489","get touch",15
"490","huge fan",22
"491","way get",32
"492","so much",89
"493","makes feel",41
"494","thanks sharing",38
"495","hey i",40
"496","just met",14
"497","im just",115
"498","near future",18
"499","if want",81
"500","thanks great",30
"501","but thats",28
"502","can provide",16
"503","hit us",11
"504","yeah im",26
"505","now following",21
"506","i usually",38
"507","phone i",22
"508","i seem",16
"509","half way",11
"510","best day",14
"511","my best",14
"512","omg i",34
"513","can i",177
"514","i buy",30
"515","you going",11
"516","every day",199
"517","we always",21
"518","great way",42
"519","i pray",28
"520","much love",46
"521","one best",99
"522","im big",21
"523","get done",35
"524","im home",13
"525","things get",24
"526","i wonder",93
"527","now getting",11
"528","did know",37
"529","spring break",44
"530","get work",35
"531","gotta love",28
"532","let know",204
"533","love u",63
"534","thanks d",13
"535","see guys",11
"536","boy i",17
"537","just i",70
"538","will just",21
"539","one said",12
"540","thank u",42
"541","u ur",14
"542","she went",13
"543","feel free",60
"544","dont understand",48
"545","hate i",24
"546","i tweet",11
"547","email address",20
"548","i dig",12
"549","riding bike",11
"550","in order",37
"551","in end",33
"552","come join",19
"553","join us",93
"554","after years",14
"555","on way",55
"556","today just",19
"557","a friend",17
"558","friend mine",21
"559","this will",47
"560","will interesting",13
"561","theres nothing",28
"562","im jealous",11
"563","go buy",11
"564","going go",48
"565","im going",318
"566","dont even",91
"567","money i",17
"568","save money",31
"569","goes well",15
"570","i said",192
"571","it is",15
"572","and now",49
"573","lemon juice",18
"574","hey thanks",25
"575","i showed",13
"576","it great",57
"577","tweet i",18
